sample tissue sex rep 
2 SRR16379937_quant ST M 1
3 SRR16379938_quant GN M 1
4 SRR16379939_quant GN M 2
5 SRR16379940_quant ST M 2
6 SRR16379941_quant WL M 1
7 SRR16379942_quant WL M 2
8 SRR16379943_quant WL F 1
9 SRR16379944_quant GN F 1
10 SRR16379945_quant GN F 2
11 SRR16379946_quant MS M 1
12 SRR16379947_quant MS F 1
13 SRR16379948_quant GN F 3
14 SRR16379949_quant HP F 1
15 SRR16379950_quant HP M 1
16 SRR16379951_quant HP M 2
17 SRR16379952_quant HP F 2
18 SRR16379953_quant MS M 2
19 SRR16379954_quant MS F 2
20 SRR16379955_quant HP M 3
21 SRR16379956_quant HP F 3
22 SRR16379957_quant HP F 4
23 SRR16379958_quant H F 1
24 SRR16379959_quant GN M 3
25 SRR16379960_quant H F 2
26 SRR16379961_quant H M 1
27 SRR16379962_quant H M 2
28 SRR16379963_quant BR F 1
29 SRR16379964_quant BR F 2
30 SRR16379965_quant BR M 1
31 SRR16379966_quant BR M 2
32 SRR16379967_quant ST F 1
33 SRR35409060_quant ES M 1
34 SRR35409061_quant ES M 2
35 SRR35409062_quant ES M 3
36 SRR35409063_quant ES F 1
37 SRR35409064_quant ES F 2
38 SRR35409065_quant ES F 3
