Gene_ID	COG_category	GOs	KEGG_ko	PFAMs	InterPro_Acc	NR_Hit_ID	NR_Description	SwissProt_Hit_ID	SwissProt_Description
misc_1	Q	-	-	Methyltransf_23,Methyltransf_25,Methyltransf_31,TehB	-,IPR029063	WP_339592661.1	WP_339592661.1 class I SAM-dependent methyltransferase [Pedobacter immunditicola]	-	-
misc_2	G	-	ko:K01840	PGM_PMM_I,PGM_PMM_II,PGM_PMM_III,PGM_PMM_IV	IPR005843,IPR016066,IPR036900,IPR005841,IPR016055,IPR005845,IPR005844,IPR005846,-,IPR050060	HHS95512.1	HHS95512.1 phosphoglucosamine mutase [Phaeodactylibacter sp.]	sp|Q68BJ6|PGMMM_THEKO	sp|Q68BJ6|PGMMM_THEKO Phosphoglucomutase/phosphomannomutase OS=Thermococcus kodakarensis (strain ATCC BAA-918 / JCM 12380 / KOD1) OX=69014 GN=TK1108 PE=1 SV=1
misc_3	T	GO:0000902,GO:0000904,GO:0001666,GO:0001667,GO:0003008,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0006928,GO:0006935,GO:0006950,GO:0007275,GO:0007399,GO:0007409,GO:0007411,GO:0007424,GO:0007427,GO:0007600,GO:0007601,GO:0008045,GO:0008150,GO:0008582,GO:0009314,GO:0009410,GO:0009416,GO:0009581,GO:0009582,GO:0009583,GO:0009584,GO:0009605,GO:0009611,GO:0009628,GO:0009653,GO:0009986,GO:0009987,GO:0010001,GO:0010033,GO:0010243,GO:0010468,GO:0010631,GO:0010769,GO:0010975,GO:0014070,GO:0014074,GO:0016020,GO:0016043,GO:0016358,GO:0016477,GO:0019222,GO:0019904,GO:0021782,GO:0022008,GO:0022603,GO:0022604,GO:0030030,GO:0030154,GO:0030165,GO:0030182,GO:0031000,GO:0031175,GO:0031344,GO:0031594,GO:0032501,GO:0032502,GO:0032989,GO:0032990,GO:0036270,GO:0036293,GO:0036477,GO:0040008,GO:0040011,GO:0042060,GO:0042063,GO:0042221,GO:0042330,GO:0042493,GO:0043025,GO:0043279,GO:0044087,GO:0044089,GO:0044297,GO:0044464,GO:0045202,GO:0045595,GO:0045664,GO:0045887,GO:0045927,GO:0048468,GO:0048518,GO:0048522,GO:0048638,GO:0048639,GO:0048666,GO:0048667,GO:0048699,GO:0048731,GO:0048812,GO:0048813,GO:0048814,GO:0048856,GO:0048858,GO:0048869,GO:0048870,GO:0050767,GO:0050773,GO:0050789,GO:0050793,GO:0050794,GO:0050803,GO:0050807,GO:0050877,GO:0050896,GO:0050906,GO:0050908,GO:0050953,GO:0050962,GO:0051094,GO:0051128,GO:0051130,GO:0051179,GO:0051239,GO:0051240,GO:0051606,GO:0051674,GO:0051960,GO:0051962,GO:0051963,GO:0051965,GO:0060147,GO:0060148,GO:0060255,GO:0060284,GO:0060541,GO:0060964,GO:0060966,GO:0060968,GO:0061564,GO:0065007,GO:0065008,GO:0070482,GO:0071840,GO:0071944,GO:0090130,GO:0090132,GO:0097458,GO:0097485,GO:0120035,GO:0120036,GO:0120039,GO:1901698,GO:1904396,GO:1904398,GO:2000026,GO:2000637	ko:K16336	Syndecan	IPR003585,IPR027789,IPR030479,IPR001050,-	XP_071523821.1	XP_071523821.1 uncharacterized protein [Panulirus ornatus]	sp|P49415|SDC_DROME	sp|P49415|SDC_DROME Syndecan OS=Drosophila melanogaster OX=7227 GN=Sdc PE=2 SV=2
misc_5	-	-	-	-	IPR025283	KAG7164668.1	KAG7164668.1 HEAT repeat-containing protein 6-like [Homarus americanus]	-	-
misc_6	-	-	-	Sulfotransfer_3	-	MEO1606447.1	MEO1606447.1 hypothetical protein [Pseudomonadota bacterium]	-	-
misc_7	M	-	-	PMT_2	IPR050297,IPR038731	MEO1606444.1	MEO1606444.1 glycosyltransferase family 39 protein [Pseudomonadota bacterium]	-	-
misc_8	GM	GO:0003674,GO:0003824,GO:0016740,GO:0016757	ko:K00971,ko:K16011	MannoseP_isomer,NTP_transferase	IPR006375,IPR001538,IPR049577,IPR029044,IPR011051,IPR054566,IPR051161,IPR005835,-,IPR014710	MEO1606446.1	MEO1606446.1 mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase [Pseudomonadota bacterium]	sp|P0C7J3|XANB_XANCP	sp|P0C7J3|XANB_XANCP Xanthan biosynthesis protein XanB OS=Xanthomonas campestris pv. campestris (strain ATCC 33913 / DSM 3586 / NCPPB 528 / LMG 568 / P 25) OX=190485 GN=xanB PE=3 SV=1
misc_9	S	-	-	LPG_synthase_TM	IPR022791,-	MEO1606445.1	MEO1606445.1 lysylphosphatidylglycerol synthase transmembrane domain-containing protein [Pseudomonadota bacterium]	-	-
misc_10	-	-	-	-	-	-	-	-	-
misc_13	S	-	ko:K03006	Chitin_bind_4	IPR000618,-,IPR031311,IPR051217	XP_071549672.1	XP_071549672.1 LOW QUALITY PROTEIN: uncharacterized protein [Panulirus ornatus]	-	-
misc_14	V	GO:0000188,GO:0001701,GO:0001772,GO:0001932,GO:0001933,GO:0002682,GO:0002683,GO:0002694,GO:0002695,GO:0003674,GO:0003824,GO:0004721,GO:0004725,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005829,GO:0005886,GO:0006464,GO:0006469,GO:0006470,GO:0006793,GO:0006796,GO:0006807,GO:0007162,GO:0007275,GO:0007346,GO:0008138,GO:0008150,GO:0008152,GO:0009790,GO:0009792,GO:0009892,GO:0009966,GO:0009968,GO:0009987,GO:0010563,GO:0010605,GO:0010646,GO:0010648,GO:0016020,GO:0016311,GO:0016787,GO:0016788,GO:0016791,GO:0019220,GO:0019222,GO:0019538,GO:0019899,GO:0019900,GO:0019901,GO:0022407,GO:0022408,GO:0023051,GO:0023057,GO:0030155,GO:0031323,GO:0031324,GO:0031399,GO:0031400,GO:0031974,GO:0031981,GO:0032268,GO:0032269,GO:0032501,GO:0032502,GO:0032872,GO:0032873,GO:0033549,GO:0033673,GO:0035335,GO:0036211,GO:0042325,GO:0042326,GO:0042578,GO:0043009,GO:0043086,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043405,GO:0043407,GO:0043408,GO:0043409,GO:0043412,GO:0043549,GO:0044092,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044425,GO:0044428,GO:0044444,GO:0044446,GO:0044459,GO:0044464,GO:0045787,GO:0045859,GO:0045931,GO:0045936,GO:0046328,GO:0046329,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048585,GO:0048856,GO:0050776,GO:0050789,GO:0050790,GO:0050794,GO:0050854,GO:0050856,GO:0050858,GO:0050860,GO:0050863,GO:0050865,GO:0050866,GO:0050868,GO:0051171,GO:0051172,GO:0051174,GO:0051246,GO:0051248,GO:0051249,GO:0051250,GO:0051338,GO:0051348,GO:0051726,GO:0060255,GO:0065007,GO:0065009,GO:0070013,GO:0070302,GO:0070303,GO:0070372,GO:0070373,GO:0071704,GO:0071900,GO:0071901,GO:0071944,GO:0080090,GO:0080134,GO:0080135,GO:0140096,GO:1901564,GO:1902531,GO:1902532,GO:1903037,GO:1903038	ko:K14165,ko:K17614	DSPc	IPR029021,IPR000387,IPR020405,IPR016130,IPR020422,-,IPR000340	XP_071515013.1	XP_071515013.1 uncharacterized protein [Panulirus ornatus]	sp|Q6B8I0|DS13A_MOUSE	sp|Q6B8I0|DS13A_MOUSE Dual specificity protein phosphatase 13A OS=Mus musculus OX=10090 GN=Dusp13a PE=2 SV=1
