CHROM	POS	F1	F2	F3	M1	M2	M3
k141_7345028	1	0	0	0	0	0	0
k141_7345028	2	0	0	0	0	0	0
k141_7345028	3	0	0	0	0	0	0
k141_7345028	4	0	0	0	0	0	0
k141_7345028	5	0	0	0	0	0	0
k141_7345028	6	0	0	0	0	0	0
k141_7345028	7	0	0	0	0	0	0
k141_7345028	8	0	0	0	0	1	0
k141_7345028	9	0	0	0	0	1	0
k141_7345028	10	0	0	0	0	1	0
k141_7345028	11	0	0	0	3	2	4
k141_7345028	12	0	0	0	3	2	4
k141_7345028	13	0	0	0	3	2	4
k141_7345028	14	0	0	0	3	2	4
k141_7345028	15	0	0	0	3	2	4
k141_7345028	16	0	0	0	3	2	4
k141_7345028	17	0	0	0	3	2	4
k141_7345028	18	0	0	0	3	2	5
k141_7345028	19	0	0	0	3	2	5
k141_7345028	20	0	0	0	3	2	5
k141_7345028	21	0	0	0	3	2	5
k141_7345028	22	0	0	0	3	2	5
k141_7345028	23	0	0	0	4	4	5
k141_7345028	24	0	8	2	5	5	6
k141_7345028	25	0	8	2	5	7	6
k141_7345028	26	0	8	4	7	8	9
k141_7345028	27	0	8	4	7	8	9
k141_7345028	28	0	8	4	7	8	9
k141_7345028	29	0	10	4	7	8	9
k141_7345028	30	2	10	4	7	8	9
k141_7345028	31	2	10	4	7	8	9
k141_7345028	32	3	10	4	7	8	9
k141_7345028	33	3	10	4	7	9	10
k141_7345028	34	3	10	4	7	9	10
k141_7345028	35	3	10	4	9	9	10
k141_7345028	36	3	10	4	9	9	10
k141_7345028	37	3	10	4	9	9	10
k141_7345028	38	3	10	4	9	9	10
k141_7345028	39	3	10	4	9	9	10
k141_7345028	40	3	10	4	9	9	10
k141_7345028	41	3	10	4	9	9	10
k141_7345028	42	3	10	4	9	9	10
k141_7345028	43	3	10	4	9	9	10
k141_7345028	44	3	10	4	9	9	10
k141_7345028	45	3	10	4	9	9	10
k141_7345028	46	3	10	4	9	9	10
k141_7345028	47	3	10	4	9	9	10
k141_7345028	48	3	10	4	9	9	10
k141_7345028	49	3	10	4	9	9	10
k141_7345028	50	3	10	4	9	9	10
k141_7345028	51	3	10	4	9	9	10
k141_7345028	52	3	10	4	9	9	10
k141_7345028	53	3	10	4	10	9	10
k141_7345028	54	3	10	4	10	9	10
k141_7345028	55	3	10	4	10	9	10
k141_7345028	56	3	10	4	10	9	10
k141_7345028	57	3	10	4	10	9	10
k141_7345028	58	3	10	4	10	9	10
k141_7345028	59	3	10	4	10	9	10
k141_7345028	60	3	10	4	10	9	10
k141_7345028	61	3	10	4	10	9	10
k141_7345028	62	3	10	4	10	9	10
k141_7345028	63	3	10	4	10	9	10
k141_7345028	64	3	10	4	11	9	10
k141_7345028	65	3	10	4	11	9	10
k141_7345028	66	3	10	4	11	9	10
k141_7345028	67	3	10	4	11	9	10
k141_7345028	68	3	10	4	11	9	10
k141_7345028	69	3	10	4	11	9	10
k141_7345028	70	3	10	4	11	9	10
k141_7345028	71	3	10	4	11	9	10
k141_7345028	72	3	10	4	11	9	10
k141_7345028	73	3	10	4	11	9	10
k141_7345028	74	3	10	4	11	10	11
k141_7345028	75	3	10	4	11	10	11
k141_7345028	76	3	10	4	11	10	11
k141_7345028	77	3	10	4	11	9	11
k141_7345028	78	3	9	4	11	9	11
k141_7345028	79	3	9	4	11	9	11
k141_7345028	80	3	9	4	11	9	11
k141_7345028	81	3	9	4	11	9	11
k141_7345028	82	3	9	4	11	9	11
k141_7345028	83	3	9	4	11	9	11
k141_7345028	84	3	9	4	11	14	12
k141_7345028	85	3	9	4	11	13	12
k141_7345028	86	3	8	4	11	13	12
k141_7345028	87	3	8	4	11	13	12
k141_7345028	88	3	8	4	11	13	12
k141_7345028	89	3	8	4	11	13	12
k141_7345028	90	3	8	4	11	13	12
k141_7345028	91	0	6	2	8	10	9
k141_7345028	92	0	6	2	8	10	9
k141_7345028	93	0	2	0	7	10	8
k141_7345028	94	0	2	0	7	10	8
k141_7345028	95	0	2	0	7	13	9
k141_7345028	96	0	1	0	7	13	9
k141_7345028	97	0	1	0	8	13	9
k141_7345028	98	0	1	0	8	13	9
k141_7345028	99	0	0	0	8	14	8
k141_7345028	100	0	0	0	8	14	8
k141_7345028	101	0	0	0	8	14	8
k141_7345028	102	0	0	0	8	14	8
k141_7345028	103	0	0	0	9	14	8
k141_7345028	104	0	0	0	9	14	8
k141_7345028	105	0	0	0	9	14	8
k141_7345028	106	0	0	0	9	14	8
k141_7345028	107	0	0	0	9	14	7
k141_7345028	108	0	0	0	10	14	8
k141_7345028	109	0	0	0	10	14	8
k141_7345028	110	0	0	0	10	14	8
k141_7345028	111	0	0	0	10	14	8
k141_7345028	112	0	0	0	10	14	8
k141_7345028	113	0	0	0	11	16	8
k141_7345028	114	0	0	0	11	16	8
k141_7345028	115	0	0	0	11	16	8
k141_7345028	116	0	0	0	12	16	9
k141_7345028	117	0	0	0	12	16	9
k141_7345028	118	0	0	0	12	16	9
k141_7345028	119	0	0	0	12	16	9
k141_7345028	120	0	0	0	12	16	9
k141_7345028	121	0	0	0	12	16	9
k141_7345028	122	0	0	0	12	16	9
k141_7345028	123	0	0	0	13	16	9
k141_7345028	124	0	0	0	13	16	9
k141_7345028	125	0	0	0	14	16	9
k141_7345028	126	0	0	0	14	16	9
k141_7345028	127	0	0	0	15	17	9
k141_7345028	128	0	0	0	15	17	9
k141_7345028	129	0	0	0	15	17	9
k141_7345028	130	0	0	0	17	17	9
k141_7345028	131	0	0	0	17	17	9
k141_7345028	132	0	0	0	17	17	7
k141_7345028	133	0	0	0	17	17	7
k141_7345028	134	0	0	0	17	17	7
k141_7345028	135	0	0	0	17	17	7
k141_7345028	136	0	0	0	17	17	7
k141_7345028	137	0	0	0	16	17	7
k141_7345028	138	0	0	0	16	17	7
k141_7345028	139	0	0	0	16	16	7
k141_7345028	140	0	0	0	16	16	7
k141_7345028	141	0	0	0	15	16	8
k141_7345028	142	0	0	0	15	16	8
k141_7345028	143	0	0	0	15	16	8
k141_7345028	144	0	0	0	15	16	8
k141_7345028	145	0	0	0	15	16	8
k141_7345028	146	0	0	0	15	16	8
k141_7345028	147	0	0	0	15	16	8
k141_7345028	148	0	0	0	15	16	8
k141_7345028	149	0	0	0	14	16	8
k141_7345028	150	0	0	0	14	15	8
k141_7345028	151	0	0	0	14	15	8
k141_7345028	152	0	0	0	14	15	9
k141_7345028	153	0	0	0	14	16	9
k141_7345028	154	0	0	0	14	16	9
k141_7345028	155	0	0	0	14	16	9
k141_7345028	156	0	0	0	14	16	9
k141_7345028	157	0	0	0	15	16	9
